ticker,date,Return_1D,Open,High,Low,Close,Volume,MA_5,MA_21,MA_126,MA_252,Volatility_21,sentiment_mean,sentiment_median,sentiment_std,sentiment_min,sentiment_max,article_count,unique_sources,truncated_articles,positive_count,neutral_count,negative_count,positive_ratio,neutral_ratio,negative_ratio,truncated_ratio,target_direction
AAPL,2026-03-31,0.0290312949015365,247.9100036621093,255.47999572753903,247.1000061035156,253.7899932861328,49598100,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499,0.1656642857142857,0.0772,0.41488530752734765,-0.9371,0.9217,98,65,95,52,26,20,0.5306122448979592,0.2653061224489796,0.20408163265306123,0.9693877551020408,1
AMZN,2026-03-31,0.0364270088847233,204.8500061035156,210.27999877929688,204.13999938964844,208.2700042724609,58470100,205.5619995117188,210.07142857142856,224.54444449288505,218.32908739362443,0.020916519864313,0.386846,0.42115,0.4385161642944017,-0.8743,0.9601,100,51,99,76,13,11,0.76,0.13,0.11,0.99,1
AVGO,2026-03-23,0.0408248668709378,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137,0.3518125,0.38155,0.2425826953992037,0.0,0.6486,8,6,8,6,2,0,0.75,0.25,0.0,1.0,1
AVGO,2026-03-24,-0.0130848689743611,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152,0.1754125,0.0649,0.4486424097578531,-0.6369,0.7964,16,13,16,8,3,5,0.5,0.1875,0.3125,1.0,0
AVGO,2026-03-25,0.0016336956854192,322.5899963378906,324.29998779296875,316.7200012207031,318.8099975585937,19900000,317.7281005859375,324.5174967447917,343.5145404149616,299.1119210984972,0.0242297510273915,0.27492,0.3389,0.3768980433898684,-0.5859,0.7506,10,10,10,8,1,1,0.8,0.1,0.1,1.0,1
AVGO,2026-03-26,-0.0294532298320838,314.0199890136719,316.9200134277344,309.1700134277344,309.4200134277344,20343700,315.77800903320315,323.4606221516927,343.288087632921,299.5987192789714,0.0244822261288603,0.15602631578947368,0.0387,0.36208336032543864,-0.4215,0.7506,19,18,19,9,6,4,0.47368421052631576,0.3157894736842105,0.21052631578947367,1.0,0
AVGO,2026-03-27,-0.0282464623252121,307.0599975585937,307.5,298.8699951171875,300.67999267578125,23593900,313.94200439453124,322.4917370024182,343.0176435198103,300.08622269403367,0.0242771193915453,0.40916363636363634,0.4215,0.24842092614241365,0.0,0.8834,11,9,11,10,1,0,0.9090909090909091,0.09090909090909091,0.0,1.0,0
AVGO,2026-03-30,-0.0241784927190383,300.8699951171875,304.7699890136719,289.9599914550781,293.4100036621094,28054500,308.12200317382815,321.27882893880206,342.70191180516804,300.5735335577102,0.024712072336857,0.3351375,0.3452,0.3310396607119542,0.0,0.9061,8,6,8,5,3,0,0.625,0.375,0.0,1.0,0
AVGO,2026-03-31,0.0548720422022706,299.3900146484375,310.3099975585937,296.3399963378906,309.510009765625,29289500,306.3660034179687,320.8672761462984,342.5663665287078,301.13603071182496,0.0278237315638672,0.14155555555555555,0.0,0.22393525912142057,0.0,0.6705,9,8,9,4,5,0,0.4444444444444444,0.5555555555555556,0.0,1.0,1
BRK-B,2026-03-23,-0.0019960732112215,483.5,485.9800109863281,479.0,479.9800109863281,4958000,483.89000244140624,491.29000418526783,495.3621431380984,496.5221820407444,0.0142116660296012,0.2822818181818182,0.2263,0.4427676045470848,-0.5423,0.8519,11,9,11,7,2,2,0.6363636363636364,0.18181818181818182,0.18181818181818182,1.0,0
BRK-B,2026-03-24,-0.0013542739263803,478.0,483.5,477.5499877929688,479.3299865722656,3434400,481.2400024414063,490.58714657738096,495.2480161152189,496.3532138400608,0.0141315955606356,0.38956,0.4767,0.34809011476914997,-0.2023,0.7096,5,4,5,4,0,1,0.8,0.0,0.2,1.0,0
