article_id,ticker,published_at,source_name,author,title,description,content,url,date,publishedAt,sentiment_score,sentiment_label,Date,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
0,AAPL,2026-03-31 19:34:20+00:00,MacRumors,Juli Clover,OpenAI Brings ChatGPT to CarPlay for Hands-Free Voice Conversations,"OpenAI has updated ChatGPT with support for CarPlay, which means ‌CarPlay‌ users can now ask ChatGPT questions and make requests directly from their vehicle dashboard.





Apple began allowing third-party voice-based conversational apps to interface with ‌Ca…","OpenAI has updated ChatGPT with support for CarPlay, which means ‌CarPlay‌ users can now ask ChatGPT questions and make requests directly from their vehicle dashboard.
Apple began allowing third-par… [+1124 chars]",https://www.macrumors.com/2026/03/31/openai-chatgpt-carplay/,2026-03-31,2026-03-31 19:34:20+00:00,0.4019,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
1,AAPL,2026-03-31 19:35:36+00:00,TechCrunch,Amanda Silberling,Meta was finally held accountable for harming teens. Now what? | TechCrunch,"Meta faces thousands more court cases while Congress has proposed numerous bills addressing children’s online safety, some heavily criticized.","Meta lost a lawsuit against the state of New Mexico last week, marking the first time that the company has been held liable by the court system for endangering child safety. This was a landmark decis… [+6869 chars]",https://techcrunch.com/2026/03/31/meta-was-finally-held-accountable-for-harming-teens-now-what/,2026-03-31,2026-03-31 19:35:36+00:00,-0.0258,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
2,AAPL,2026-03-31 19:40:00+00:00,Empire of The Kop,Empire of the Kop,Liverpool given green-light to complete £56.7m transfer ahead of the summer window,"Castello Lukeba will be available on the market in the upcoming summer transfer window.RB Leipzig are said to be prepared to sell the centre-back for a fee below his €80m [£69.8m] release clause, r...","Castello Lukeba will be available on the market in the upcoming summer transfer window.
RB Leipzig are said to be prepared to sell the centre-back for a fee below his 80m [£69.8m] release clause, re… [+2268 chars]",https://www.empireofthekop.com/2026/03/31/liverpool-given-green-light-to-complete-56-7m-transfer-ahead-of-the-summer-window/,2026-03-31,2026-03-31 19:40:00+00:00,0.2263,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
3,AAPL,2026-03-31 19:45:22+00:00,ABC News (AU),Audrey Courty,Live: Iranian president says Tehran willing to end war but needs guarantees,"Iran has the ""necessary will"" to end the war with the United States and Israel, Iranian President Masoud Pezeshkian says, stressing that Tehran is seeking guarantees the conflict will not flare up again.","As noted earlier, Iranian President Masoud Pezeshkian has said the country has the ""necessary will"" to end the war with the United States and Israel.
But he stressed that Tehran was seeking guarante… [+652 chars]",https://www.abc.net.au/news/2026-04-01/iran-war-live-updates-us-israel-australia-petrol-oil/106518848,2026-03-31,2026-03-31 19:45:22+00:00,-0.5647,negative,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
4,AAPL,2026-03-31 19:45:48+00:00,ZDNet,Kayla Solino,The Apple Pencil alternative I use daily is on sale for $28 - but not for long,"ESR's Geo Digital Pencil is on sale for under $30, but today's the last day to shop Amazon's Big Spring Sale.","Kayla Solino/ZDNET
Follow ZDNET: Add us as a preferred source on Google.
If you've got an iPad, chances are you've considered getting an Apple Pencil or a similar stylus. While they all do the same… [+3723 chars]",https://www.zdnet.com/article/esr-geo-pencil-apple-pencil-amazon-spring-sale-deal/,2026-03-31,2026-03-31 19:45:48+00:00,0.2023,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
5,AAPL,2026-03-31 19:48:25+00:00,pymnts.com,PYMNTS,Apple Cracks Down on Vibe Coding Services in App Store,"Apple is reportedly stepping up efforts to crack down on vibe coding services. As The Information reported Monday (March 30), the tech giant recently removed one such app from its App Store for breaching its rules. Vibe coding apps, as the report notes, emplo…","As The Information reported Monday (March 30), the tech giant recently removed one such app from its App Store for breaching its rules.
Vibe coding apps, as the report notes, employ artificial intel… [+2109 chars]",https://www.pymnts.com/apple/2026/apple-cracks-down-on-vibe-coding-services-in-app-store/,2026-03-31,2026-03-31 19:48:25+00:00,0.0,neutral,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
6,AAPL,2026-03-31 19:52:32+00:00,Gottabemobile.com,GBM Staff,AI in Everyday Apps You Already Use (And Didn’t Realize It),"Artificial intelligence is often associated with advanced technology, but it is already built into many of the apps people use every day. From streaming services and navigation apps to online shopping and social media, AI works behind the scenes to improve us…","Artificial intelligence is often associated with advanced technology, but it is already built into many of the apps people use every day. From streaming services and navigation apps to online shoppin… [+3298 chars]",https://www.gottabemobile.com/ai-in-everyday-apps/,2026-03-31,2026-03-31 19:52:32+00:00,0.3716,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
7,AAPL,2026-03-31 19:52:59+00:00,ABC News (AU),Matthew Doran,Iran sets 24-hour deadline on missile threat. Here's what you should know this morning,"US companies including Microsoft, Google and Apple could be targeted, while Donald Trump urges the world to buy American fuel.","Hello. Here's your daily round-up of the latest headlines from the Middle East, as the war engulfing the region reaches the end of day 32.
Analysis: Fuel needn't run out for Australia's economy to b… [+4213 chars]",https://www.abc.net.au/news/2026-04-01/iran-israel-war-daily-news-briefing/106502926,2026-03-31,2026-03-31 19:52:59+00:00,-0.5719,negative,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
8,AAPL,2026-03-31 19:54:17+00:00,Eonline.com,Joelle Goldstein,Gwyneth Paltrow's Daughter Apple Martin Makes Directorial Debut,"The apple doesn’t fall far from the tree—just ask Apple Martin.
Indeed, the eldest daughter of Gwyneth Paltrow and Chris Martin proved the longtime saying true as she made her directorial debut on...","The apple doesnt fall far from the treejust ask Apple Martin.
Indeed, the eldest daughter of Gwyneth PaltrowandChris Martinproved the longtime saying true as she made her directorial debut on a musi… [+774 chars]",https://www.eonline.com/news/1430384/apple-martin-makes-directorial-debut-at-college,2026-03-31,2026-03-31 19:54:17+00:00,0.4215,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
9,AAPL,2026-03-31 20:00:15+00:00,9to5Mac,Marcus Mendes,App Store Connect adds 11 new languages for localized app metadata,"Apple has expanded App Store Connect’s localization support, allowing developers to localize their app metadata in a total of 50 languages. Here are the details.



 more…","Apple has expanded App Store Connects localization support, allowing developers to localize their app metadata in a total of 50 languages. Here are the details.
Apple announced today that App Store … [+1395 chars]",https://9to5mac.com/2026/03/31/app-store-connect-adds-11-new-languages-for-localized-app-metadata/,2026-03-31,2026-03-31 20:00:15+00:00,0.4019,positive,2026-03-31 00:00:00-04:00,247.91000366210935,255.47999572753903,247.1000061035156,253.7899932861328,49598100,0.0290312949015365,250.9459991455078,254.43904695056733,264.1369378226144,238.68095506940568,0.0121841254532499
