article_id,ticker,published_at,source_name,author,title,description,content,url,date,publishedAt,sentiment_score,sentiment_label,Date,Open,High,Low,Close,Volume,Return_1D,MA_5,MA_21,MA_126,MA_252,Volatility_21
4,AVGO,2026-03-23 07:01:04+00:00,SiliconANGLE News,Paul Gillin,"Broadcom expands Kubernetes support with VKS upgrades, open-source contributions and new partnerships",Broadcom Inc. is using this week’s KubeCon Europe 2026 conference to outline a multipronged strategy aimed at simplifying Kubernetes operations for enterprises while expanding support for artificial intelligence and modern application workloads. The company’s…,Broadcom Inc. is using this weeks KubeCon Europe 2026 conference to outline a multipronged strategy aimed at simplifying Kubernetes operations for enterprises while expanding support for artificial i… [+6629 chars],https://siliconangle.com/2026/03/23/broadcom-expands-kubernetes-support-vks-upgrades-open-source-contributions-new-partnerships/,2026-03-23,2026-03-23 07:01:04+00:00,0.4019,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
5,AVGO,2026-03-23 11:13:20+00:00,9to5Toys,Karthik Iyer,"Keychron Woot sale now live with up to 64% off aluminum and hot-swap keyboards, deals from just $35","Woot is currently offering a huge selection of Keychron keyboards at some of the lowest prices we’ve tracked for them. The sale includes a wide range of both wired and wireless models, with discounts reaching up to 64% and prices starting at just $34.99 Prime…","Woot is currently offering a huge selection of Keychron keyboards at some of the lowest prices weve tracked for them. The sale includes a wide range of both wired and wireless models, with discounts … [+2609 chars]",http://9to5toys.com/2026/03/23/keychron-woot-sale-now-live-with-up-to-64-off-from-just-35/,2026-03-23,2026-03-23 11:13:20+00:00,0.3612,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
6,AVGO,2026-03-23 14:20:00+00:00,Yahoo Entertainment,,"Meet the Super Semiconductor Stock That Isn't Nvidia, AMD, or Broadcom",,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_787bc254-399c-46ee-b5b1-44de31c0a9ba,2026-03-23,2026-03-23 14:20:00+00:00,0.5423,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
7,AVGO,2026-03-23 14:55:42+00:00,Help Net Security,Industry News,Broadcom delivers XDR solution to under-resourced SOC teams,"Broadcom announced Symantec CBX (Carbon Black XDR), a cloud-based platform that combines Symantec and Carbon Black technologies in one intuitive solution. CBX addresses the needs of the industry’s largest and historically underserved market: organizations tha…","Broadcom announced Symantec CBX (Carbon Black XDR), a cloud-based platform that combines Symantec and Carbon Black technologies in one intuitive solution. 
CBX addresses the needs of the industrys l… [+5176 chars]",https://www.helpnetsecurity.com/2026/03/23/broadcom-symantec-cbx-cloud-based-platform/,2026-03-23,2026-03-23 14:55:42+00:00,0.3182,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
8,AVGO,2026-03-23 15:21:07+00:00,Barchart.com,Rich Asplund,Stocks Rally as President Trump Eases Iran Threats,"The S&P 500 Index ($SPX ) (SPY ) today is up +2.10%, the Dow Jones Industrial Average ($DOWI ) (DIA ) is up +2.30%, and the Nasdaq 100 Index ($IUXX ) (QQQ ) ...","The S&amp;P 500 Index ($SPX) (SPY) today is up +2.10%, the Dow Jones Industrial Average ($DOWI) (DIA) is up +2.30%, and the Nasdaq 100 Index ($IUXX) (QQQ) is up +2.19%.  June E-mini S&amp;P futures (… [+8622 chars]",https://www.barchart.com/story/news/900181/stocks-rally-as-president-trump-eases-iran-threats,2026-03-23,2026-03-23 15:21:07+00:00,0.0,neutral,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
9,AVGO,2026-03-23 15:57:08+00:00,Yahoo Entertainment,,Why Broadcom Stock Popped Today,,"If you click 'Accept all', we and our partners, including 247 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_6b96de02-0cc4-42fb-8160-45c675de33f4,2026-03-23,2026-03-23 15:57:08+00:00,0.5423,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
10,AVGO,2026-03-23 16:02:01+00:00,Yahoo Entertainment,Rameen Kasana,What Street Thinks About Broadcom Inc. (AVGO),"Broadcom Inc. (NASDAQ:AVGO) is among the 5 Tech Stocks with Best Earnings Growth in 2026. On March 5, Cantor Fitzgerald maintained an Overweight rating on...","Broadcom Inc. (NASDAQ:AVGO) is among the 5 Tech Stocks with Best Earnings Growth in 2026. On March 5, Cantor Fitzgerald maintained an Overweight rating on Broadcom Inc. (NASDAQ:AVGO) with a price tar… [+1844 chars]",https://finance.yahoo.com/markets/stocks/articles/street-thinks-broadcom-inc-avgo-160201760.html,2026-03-23,2026-03-23 16:02:01+00:00,0.6486,positive,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
11,AVGO,2026-03-23 23:00:28+00:00,CNBC,"Lora Kolodny, Ashley Capoot",OpenAI calls out Microsoft reliance as risk in investor document ahead of expected IPO,"In a document that resembles an IPO prospectus, OpenAI highlighted the risk of its dependence on Microsoft and of supply disruptions at TSMC.","OpenAI CEO Sam Altman speaks during the BlackRock Infrastructure Summit on March 11, 2026, in Washington.
In a document that resembles an IPO prospectus, OpenAI said its close ties with Microsoft co… [+6172 chars]",https://www.cnbc.com/2026/03/23/openai-risk-factors-microsoft-reliance-elon-musk-and-xai-lawsuits.html,2026-03-23,2026-03-23 23:00:28+00:00,0.0,neutral,2026-03-23 00:00:00-04:00,318.0,326.4800109863281,314.92999267578125,322.510009765625,27369200,0.0408248668709378,317.489306640625,325.3440261114212,343.81549072265625,298.09101788959805,0.024304496194137
12,AVGO,2026-03-24 04:13:00+00:00,PR Newswire UK,,"Storage Area Network Switches Market to Reach USD 47,790 Million by 2032 Amid Rising Enterprise Data Growth, Cloud Expansion, and Adoption of High-Speed Fibre Channel Technologies - Credence Research","LONDON, March 24, 2026 /PRNewswire/ -- The ""Storage Area Network Switches Market – Growth, Share, Opportunities & Competitive Analysis, 2025 – 2032"" report has been added to the Credence Research Inc. offering. The global Storage Area Network Switches Market …","LONDON, March 24, 2026 /PRNewswire/ -- The ""Storage Area Network Switches Market Growth, Share, Opportunities &amp; Competitive Analysis, 2025 2032"" report has been added to the Credence Research Inc… [+12673 chars]",https://www.prnewswire.co.uk/news-releases/storage-area-network-switches-market-to-reach-usd-47-790-million-by-2032-amid-rising-enterprise-data-growth-cloud-expansion-and-adoption-of-high-speed-fibre-channel-technologies--credence-research-302722821.html,2026-03-24,2026-03-24 04:13:00+00:00,0.7964,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
13,AVGO,2026-03-24 04:46:25+00:00,Digitimes,Lily Hess,MediaTek's Airoha takes on US giants in optical comms DSP chip arena,The expansion of AI data centers is creating new business opportunities that are opening the door for upstarts to challenge industry leaders. A prime example is the four-level pulse amplitude modulation digital signal processing (PAM4 DSP) chip market for opt…,"Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",https://www.digitimes.com/news/a20260324PD219/airoha-expansion-data-mediatek-chips.html,2026-03-24,2026-03-24 04:46:25+00:00,0.7506,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
14,AVGO,2026-03-24 05:35:09+00:00,Theregister.com,Simon Sharwood,Half of VMware users plan to reduce usage by 2028,"Analyst says many others wouldn’t mind doing the same, but feel stuck
Half of VMware users plan to reduce their use of the virtualization pioneer’s products by 2028, according to a survey by independent analyst firm Virtified.…","Half of VMware users plan to reduce their use of the virtualization pioneers products by 2028, according to a survey by independent analyst firm Virtified.
Virtified principal Michael Warrilow, a fo… [+2730 chars]",https://www.theregister.com/2026/03/24/vmware_usage_reduction_analysis/,2026-03-24,2026-03-24 05:35:09+00:00,0.0,neutral,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
15,AVGO,2026-03-24 05:41:21+00:00,CNA,,"Broadcom flags supply constraints, says TSMC capacity a bottleneck","TAIPEI, March 24 : Chip designer Broadcom said it is seeing supply chain constraints, including capacity limits at its manufacturing partner TSMC, highlighting the ripple effects of soaring demand for AI chips on the broader tech industry.""We are seeing that …","TAIPEI, March 24 : Chip designer Broadcom said it is seeing supply chain constraints, including capacity limits at its manufacturing partner TSMC, highlighting the ripple effects of soaring demand fo… [+1859 chars]",https://www.channelnewsasia.com/business/broadcom-flags-supply-constraints-says-tsmc-capacity-bottleneck-6013136,2026-03-24,2026-03-24 05:41:21+00:00,-0.128,negative,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
16,AVGO,2026-03-24 08:00:12+00:00,Nvidia.com,Justin Boitano,"Advancing Open Source AI, NVIDIA Donates Dynamic Resource Allocation Driver for GPUs to Kubernetes Community","Artificial intelligence has rapidly emerged as one of the most critical workloads in modern computing. For the vast majority of enterprises, this workload runs on Kubernetes, an open source platform that automates the deployment, scaling and management of con…","Artificial intelligence has rapidly emerged as one of the most critical workloads in modern computing.
For the vast majority of enterprises, this workload runs on Kubernetes, an open source platform… [+5857 chars]",https://blogs.nvidia.com/blog/nvidia-at-kubecon-2026/,2026-03-24,2026-03-24 08:00:12+00:00,0.1298,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
17,AVGO,2026-03-24 09:19:24+00:00,The Times of India,Reuters,"Broadcom flags supply constraints, says TSMC capacity a bottleneck","The Taiwanese firm, the world's main ​producer of advanced AI chips, said in January ⁠that capacity ‌was tight, as the boom in AI infrastructure buildout has ​soaked up ​much of its advanced production lines.","Chip designer Broadcom says it is experiencing supply chain constraints across the technology sector, including capacity limits at its manufacturing partner TSMC, as soaring demand for AI chips strai… [+1955 chars]",https://economictimes.indiatimes.com/tech/technology/broadcom-flags-supply-constraints-says-tsmc-capacity-a-bottleneck/articleshow/129772184.cms,2026-03-24,2026-03-24 09:19:24+00:00,-0.128,negative,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
18,AVGO,2026-03-24 10:01:10+00:00,Yahoo Entertainment,,Broadcom Launches Symantec CBX: Bringing Elite AI Security To Small Business Budgets,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_735b74a0-c2c9-4686-95e3-eb62fa51f22d,2026-03-24,2026-03-24 10:01:10+00:00,0.5423,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
19,AVGO,2026-03-24 10:55:08+00:00,Next-mobility.de,Diana Kupfer,Software-defined vehicles: Race for the car made of bits and bytes,"Software-defined vehicles: Race for the car made of bits and bytes

Diana Kupfer

Tue, 2026-03-24 06:55


 
 
 
 URL

 https://www.next-mobility.de/wettlauf-um-das-auto-aus-bits-und-bytes-a-1722ddde…

 

 
 Tags

 
 eclipse sdv","Software-definierte FahrzeugeWettlauf um das Auto aus Bits und Bytes
Anbieter zum Thema
Open-Source-Initiativen und KI-Plattformen sollen die Entwicklung von Software-definierten Fahrzeugen beschle… [+13288 chars]",https://www.next-mobility.de/wettlauf-um-das-auto-aus-bits-und-bytes-a-1722dddeae48f941de68583031ef7f40/,2026-03-24,2026-03-24 10:55:08+00:00,-0.5994,negative,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
20,AVGO,2026-03-24 11:27:18+00:00,Yahoo Entertainment,,Broadcom (AVGO) Secures Long-Term Growth with Hyperscaler Deals,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3634817d-7228-42fa-9015-bb6c34db0775,2026-03-24,2026-03-24 11:27:18+00:00,0.5423,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
21,AVGO,2026-03-24 11:30:00+00:00,GlobeNewswire,SNS Insider pvt ltd,Power Electronics Market Size to Worth $71.20 Billion by 2035 | Research by SNS Insider,"Global Power Electronics Market Size, Share, Revenue Trends & Segmentation Analysis, By Material, Device, Application, and Region | Forecast 2026–2035...","Austin, March 24, 2026 (GLOBE NEWSWIRE) -- Power Electronics Market Size &amp; Growth Insights:
According to the SNS Insider,The Power Electronics Market Size was valued at USD 36.28 Billion in 2025… [+7069 chars]",https://www.globenewswire.com/news-release/2026/03/24/3261105/0/en/Power-Electronics-Market-Size-to-Worth-71-20-Billion-by-2035-Research-by-SNS-Insider.html,2026-03-24,2026-03-24 11:30:00+00:00,0.6705,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
22,AVGO,2026-03-24 11:36:12+00:00,Help Net Security,Mirko Zorz,NVIDIA puts GPU orchestration in community hands,"GPU-accelerated AI workloads now run on Kubernetes in the large majority of enterprise environments. Managing those workloads at scale has required specialized tooling that, until now, remained under vendor control. NVIDIA moved to change that at KubeCon Euro…","GPU-accelerated AI workloads now run on Kubernetes in the large majority of enterprise environments. Managing those workloads at scale has required specialized tooling that, until now, remained under… [+4653 chars]",https://www.helpnetsecurity.com/2026/03/24/nvidia-kubernetes-gpu-driver-community/,2026-03-24,2026-03-24 11:36:12+00:00,0.0,neutral,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
23,AVGO,2026-03-24 17:22:01+00:00,CNBC,Katie Tarasov,"Arm releases first in-house chip, with Meta as debut customer","Arm is making its first CPU, pivoting from only licensing its architecture to giants like Apple, Nvidia, Amazon and Google. CNBC got an exclusive first look.","For more than 35 years, Arm Holdings has licensed its instruction sets to the world's biggest chipmakers and collected royalties on every processor made with its designs. Now the U.K.-based company i… [+7331 chars]",https://www.cnbc.com/2026/03/24/arm-launches-its-own-cpu-with-meta-as-first-customer.html,2026-03-24,2026-03-24 17:22:01+00:00,0.0,neutral,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
24,AVGO,2026-03-24 18:26:18+00:00,Yahoo Entertainment,,Is Broadcom (AVGO) The Best AI Chip Stock to Buy According to Jim Cramer?,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3f542adc-9ce2-4b8e-8615-08e6063b4c3e,2026-03-24,2026-03-24 18:26:18+00:00,0.5423,positive,2026-03-24 00:00:00-04:00,320.0,324.3999938964844,314.8399963378906,318.2900085449219,19799000,-0.0130848689743611,317.01983032226565,324.80314563569567,343.66354491218686,298.5996308099656,0.0244150822456152
