ticker,date,sentiment_score_mean,sentiment_score_median,sentiment_score_std,article_count,positive_count,neutral_count,negative_count
AVGO,2026-03-22,0.135575,0.0,0.27115,4,1,3,0
AVGO,2026-03-23,0.3518125,0.38155,0.2425826953992037,8,6,2,0
AVGO,2026-03-24,0.1754125,0.0649,0.4486424097578531,16,8,3,5
AVGO,2026-03-25,0.27492,0.3389,0.3768980433898684,10,8,1,1
AVGO,2026-03-26,0.15602631578947368,0.0387,0.36208336032543864,19,9,6,4
AVGO,2026-03-27,0.40916363636363634,0.4215,0.24842092614241365,11,10,1,0
AVGO,2026-03-28,0.5473333333333333,0.5423,0.008717989064763367,3,3,0,0
AVGO,2026-03-29,0.5423,0.5423,0.0,1,1,0,0
AVGO,2026-03-30,0.3351375,0.3452,0.3310396607119542,8,5,3,0
AVGO,2026-03-31,0.14155555555555555,0.0,0.22393525912142057,9,4,5,0
