ticker,date,sentiment_score_mean,sentiment_score_median,sentiment_score_std,article_count,positive_count,neutral_count,negative_count
GOOG,2026-03-25,-0.16588,-0.26115,0.38677528876597067,10,2,1,7
GOOG,2026-03-26,0.03660952380952382,0.1531,0.5462805532917696,21,11,2,8
GOOG,2026-03-27,0.053356521739130434,0.3818,0.5801421164649595,23,12,2,9
GOOG,2026-03-28,-0.059399999999999994,0.0,0.2264452325250707,7,1,4,2
GOOG,2026-03-29,-0.18035,-0.4393,0.43588454319922837,6,2,0,4
GOOG,2026-03-30,-0.016990000000000005,-0.0386,0.425479492781706,10,4,1,5
GOOG,2026-03-31,0.2176947368421053,0.2732,0.4042524231682809,19,14,1,4
GOOG,2026-04-07,0.35144000000000003,0.40080000000000005,0.23085883709892213,10,8,2,0
GOOG,2026-04-08,0.283875,0.44765,0.5980520133853624,8,6,0,2
GOOG,2026-04-09,0.35446666666666665,0.4286,0.3912859552653005,12,9,1,2
GOOG,2026-04-10,0.39677777777777773,0.5719,0.4470653609310885,9,7,1,1
GOOG,2026-04-11,0.19510000000000002,-0.0258,0.38261002339196504,3,1,2,0
GOOG,2026-04-12,0.54328,0.5423,0.34012839781470766,5,4,1,0
GOOG,2026-04-13,0.5227625,0.61725,0.2925825252935364,8,7,1,0
GOOG,2026-04-14,0.012066666666666675,-0.13085,0.5362079046132171,12,5,1,6
GOOG,2026-04-15,0.06208,0.0,0.41200884510462205,10,4,4,2
GOOG,2026-04-16,0.2876375,0.22025,0.33398730889062234,16,10,5,1
GOOG,2026-04-17,0.38242000000000004,0.4404,0.2526232610034159,5,4,1,0
GOOG,2026-04-18,0.8415,0.8415,0.0,1,1,0,0
