ticker,published_at,source_name,author,title,description,content,url
AAPL,2026-03-31T23:55:39Z,Fox News,,"Family ramps up search for missing coffee shop owner, mother of two, urges public to check cameras","Amy Hillyard, 52, has been missing from Oakland since March 25. Authorities classified her as at-risk, and hundreds of volunteers are searching the East Bay.","The family of a missing Oakland business owner is ramping up search efforts across the East Bay, calling on residents to review security footage as volunteers and law enforcement widen the hunt.
Abo… [+5496 chars]",https://www.foxnews.com/us/family-ramps-up-search-missing-coffee-shop-owner-mother-two-urges-public-check-cameras
AAPL,2026-03-31T23:47:01Z,9to5Mac,Marcus Mendes,AirTag 2 gets its first firmware update since January launch,"In addition to a firmware update for the new AirPods Max 2, which are set to hit the shelves tomorrow (and we have already reviewed), Apple also rolled out a firmware update to the AirTag 2 earlier today. Here are the details.



 more…","In addition to a firmware update for the new AirPods Max 2, which are set to hit the shelves tomorrow (and we have already reviewed), Apple also rolled out a firmware update to the AirTag 2 earlier t… [+1457 chars]",https://9to5mac.com/2026/03/31/airtag-2-gets-its-first-firmware-update-since-january-launch/
AAPL,2026-03-31T23:45:19Z,Screen Rant,Dani Kessel Odom,10 Upcoming Apple TV Shows You Cannot Miss,"With so many great shows on the horizon, Apple TV subscribers are in for a good time. These are ten shows you cannot skip!","Apple TV is bringing many exciting stories to the screen, and these ten new and returning TV shows are ones you absolutely cannot miss. Although the streaming site started much later than others, App… [+10161 chars]",https://screenrant.com/upcoming-apple-tv-shows-cannot-miss/
AAPL,2026-03-31T23:39:49Z,Slickdeals.net,phoinix,Refurb: Apple Magic Wireless Mouse 2 $30 + Free S&H w/ Prime,Woot! has Refurbished: Apple Magic Wireless Mouse 2 (3 Colors) for $34.99 - $5 when you apply coupon code APPLEFIVE at checkout = $29.99. Shipping is free for Amazon Prime Members (must login with you,"This collaborative space allows users to contribute additional information, tips, and insights to enhance the original deal post. Feel free to share your knowledge and help fellow shoppers make infor… [+26 chars]",https://slickdeals.net/f/19367088-refurb-apple-magic-wireless-mouse-2-30-free-s-h-w-prime
AAPL,2026-03-31T23:38:20Z,SlashGear,Sumukh Rao,5 Home Security Gadgets That Aren't Cameras You Should Be Using In 2026,"Outdoor, indoor, and doorbell cameras are all well and good, but they're hardly the only home security tech around.","As the name suggests, the Meross Human Presence Sensor detects whether there is a human in a room. While a conventional motion sensor activates every time someone enters or exits a room, this Meross … [+1190 chars]",https://www.slashgear.com/2135219/home-security-gadgets-you-should-be-using-in-2026-that-arent-cameras/
AAPL,2026-03-31T23:35:25Z,KHON2,Cameron Macedonio,"Alaska, Hawaiian Airlines to function under one app in April: Here’s what to do","Alaska Air Group has launched a new app, Alaska Hawaiian, which combines the services of both Alaska and Hawaiian Airlines, allowing travelers to manage...","HONOLULU (KHON2) Another change is coming to Alaska and Hawaiian Airlines as Alaska Air Group announced the launch of its new app that will combine services.
The new app, simply titled Alaska Hawaii… [+2315 chars]",https://www.khon2.com/local-news/alaska-hawaiian-airlines-app/
AAPL,2026-03-31T23:34:19Z,New York Post,Christian Arnold,MLS local markets unlikely to get media rights back when Apple TV deal ends: NYCFC CEO,MLS and Apple will break their media rights agreement early following the 2028-29 season.,"New York City FC CEO Brad Sims doesnt foresee the day that Major League Soccer ever returns to local market broadcast rights, even if it would benefit the club that he helps run. 
MLS and Apple will… [+1925 chars]",https://nypost.com/2026/03/31/sports/mls-local-markets-unlikely-to-get-media-rights-back-when-apple-tv-deal-ends/
AAPL,2026-03-31T23:34:00Z,CBS News,CBS News,Inside Apple's codependent relationship with China,"CBS News contributor Patrick McGee joins ""The Daily Report"" to discuss the codependent relationship between Apple and China, a country that manufactures hundreds of millions of iPhones every year.",Copyright ©2026 CBS Interactive Inc. All rights reserved.,https://www.cbsnews.com/video/analyzing-apples-codependent-relationship-china/
AAPL,2026-03-31T23:30:00Z,Bavarian Football Works,CSmith1919,Bayern Munich’s Max Eberl wants to be clear — Mo Salah didn’t get an offer,FC Bayern will not pursue Mo Salah…at least that’s what Max Eberl says.,"Over the past few days a bizarre rumor emerged out of the Middle East that both Bayern Munich and Paris Saint-Germain had already made offers to outgoing Liverpool legend Mo Salah.
However, Bayern M… [+1274 chars]",https://www.bavarianfootballworks.com/bayern-munich-transfer-news-rumors/183443/bayern-munich-max-eberl-wants-to-be-clear-mo-salah-didnt-get-an-offer
AAPL,2026-03-31T23:29:43Z,Applech2.com,applech2,"Apple、USB-AやThunderbolt 2などのレガシーポートを搭載した「MacBook Air (13-inch, 2017)」をビンテージ製品に、「iPhone 8 (PRODUCT)RED™」や「iPad mini 4 Wi-Fi」をオブソリート製品に追加。","AppleがUSB-AやThunderbolt 2ポートを搭載した最後のMacBook「MacBook Air (13-inch, 2017)」をビンテージ製品に、「iPhone 8 (PRODUCT)RED&#x21 […]
The post Apple、USB-AやThunderbolt 2などのレガシーポートを搭載した「MacBook Air (13-inch, 2017)」をビンテージ製品に、「iPhone 8 (PRODUCT)RED™」や「iPad mini 4 Wi-Fi」をオブソリート製品に追加。…","AppleUSB-AThunderbolt 2MacBookMacBook Air (13-inch, 2017)iPhone 8 (PRODUCT)RED™iPad mini 4 Wi-Fi
Apple20260331Obtaining service for your Apple product after an expired warranty2017MacBook Air (13-in… [+622 chars]",https://applech2.com/archives/20260401-apple-macbook-air-13inch-2017-vintage-product.html
