ticker,published_at,source_name,author,title,description,content,url
NVDA,2026-03-31T23:52:33Z,SiliconANGLE News,Mike Wheatley,OpenAI just closed on a record-breaking $122B funding round that brings its value to $852B,"OpenAI Group PBC showed that it’s still the darling of artificial intelligence investors today, announcing it has raised $122 billion at an $852 billion valuation, the largest funding round in Silicon Valley’s history. The round, which comes at a time when th…","OpenAI Group PBC showed that its still the darling of artificial intelligence investors today, announcing it has raised $122 billion at an $852 billion valuation, the largest funding round in Silicon… [+4840 chars]",https://siliconangle.com/2026/03/31/openai-just-closed-record-breaking-122b-funding-round-brings-value-852b/
NVDA,2026-03-31T23:49:01Z,BusinessLine,Reuters,US stocks rally sharply as Trump signals potential end to Iran conflict,"Major U.S. indexes posted their biggest gains in months, led by big tech stocks, even as geopolitical tensions and economic uncertainty continue to weigh on markets.","Wall Street ended sharply higher on Tuesday, lifted by speculation about a potential de-escalation in the Middle East conflict that has sent oil prices soaring and fueled fears of global inflation in… [+3747 chars]",https://www.thehindubusinessline.com/markets/us-stocks-rally-sharply-as-trump-signals-potential-end-to-iran-conflict/article70809550.ece
NVDA,2026-03-31T23:46:51Z,Pypi.org,jdyer@nvidia.com,nemo-retriever 2026.3.31.dev47,A modern RAG ingestion pipeline from Nvidia,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/nemo-retriever/2026.3.31.dev47/
NVDA,2026-03-31T23:07:07Z,MarketBeat,MarketBeat,Duos Technologies Group Q4 Earnings Call Highlights,Duos Technologies Group (NASDAQ:DUOT) executives used the company’s fourth-quarter and full-year 2025 earnings call to outline a strategic shift toward data ...,"Duos Technologies Group logo
<ul><li>Strategic pivot: New CEO Doug Recker said Duos will ""completely divest the rail division"" within ~60 days and is now fully dedicated to the data center market vi… [+9923 chars]",https://www.marketbeat.com/instant-alerts/duos-technologies-group-q4-earnings-call-highlights-2026-03-31/?utm_source=yahoofinance&amp;utm_medium=yahoofinance
NVDA,2026-03-31T22:58:31Z,PC Gamer,Jody Macgregor,Aether & Iron review,Arcanum meets Bioshock Infinite in a speakeasy.,What is it?: A lean steampunk-ish RPG with tactical combat and visual novel storytelling.Expect to pay: $20/£16.80Developer: Seismic Squirrel/Chaos TheoryPublisher: Seismic SquirrelReviewed on: Windo… [+6049 chars],https://www.pcgamer.com/games/rpg/aether-and-iron-review/
NVDA,2026-03-31T22:35:49Z,Yahoo Entertainment,,NVIDIA Corporation (NVDA) Positioned to Benefit as Customers Ramp up AI Hardware Spend,,"If you click 'Accept all', we and our partners, including 251 who are part of the IAB Transparency &amp; Consent Framework, will also store and / or access information on a device (in other words, us… [+1046 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_122f9843-9cf0-4e89-950b-b2d89daaa3b7
NVDA,2026-03-31T22:35:29Z,9to5Mac,Marcus Mendes,Apple among US firms Iran labels ‘terrorist companies’ as it threatens attacks,"As reported by CBS News, Iran’s Islamic Revolutionary Guard Corps (IRGC) vowed to start attacking US-based tech and finance companies in the Mideast starting tomorrow. Here are the details.



 more…","As reported by CBS News, Iran’s Islamic Revolutionary Guard Corps (IRGC) vowed to start attacking US-based tech and finance companies in the Mideast starting tomorrow. Here are the details.
Accordin… [+1526 chars]",https://9to5mac.com/2026/03/31/apple-among-us-firms-iran-labels-terrorist-companies-as-it-threatens-attacks/
NVDA,2026-03-31T22:28:57Z,Www.df.cl,Diario Financiero,IA soberana en Chile: la decisión de US$ 2 billones de la que nadie habla,"DARÍO PAYA CARL MEACHAM Western Hemisphere Business Development, Hydra Host Inc. An NVIDIA Cloud Partner","Un país tiene petróleo o no. La geología impuso esa realidad que nos ha marcado por décadas. Hoy pasa algo sin precedentes: por primera vez, un país puede elegir si será productor o simplemente consu… [+3397 chars]",https://www.df.cl/opinion/columnistas/ia-soberana-en-chile-la-decision-de-us-2-billones-de-la-que-nadie-habla
NVDA,2026-03-31T22:28:48Z,pymnts.com,PYMNTS,OpenAI Valued at $852 Billion in Latest Funding Round,"OpenAI raised $122 billion in a funding round that valued it at $852 billion, the company said in a Tuesday (March 31) press release. The company also announced in the release that it is developing a “unified AI superapp” and that its enterprise business will…","OpenAI raised $122 billion in a funding round that valued it at $852 billion, the company said in a Tuesday (March 31) press release.The company also announced in the release that it is developing a … [+2468 chars]",https://www.pymnts.com/artificial-intelligence-2/2026/openai-valued-at-852-billion-in-latest-funding-round/
NVDA,2026-03-31T22:19:49Z,CNBC,Morgan Chittum,Jim Cramer: Three ways the stock market will flip if the U.S.-Iran war ends,Want to know how the market will react when the war's over? CNBC's Jim Cramer says Tuesday's session gives investors a hint.,"Want to know how the market will react when the U.S.-Iran war finally ends? CNBC's Jim Cramer said Tuesday's session gives investors the answer. 
The ""Mad Money"" host said that the market""tipped its… [+3164 chars]",https://www.cnbc.com/2026/03/31/jim-cramer-three-ways-the-stock-market-will-flip-if-the-us-iran-war-ends.html
